user_lat,user_lon,dc_lat,dc_lon,dc_id,dc_region,dc_provider,distance_km,network_load,packet_loss,bandwidth,optimal_dc_id,optimal_dc
4.745428,96.355711,25.03,121.56,4,Asia-East-1,GCP,3510.265024,0.612176,0.039366,838.87412,4,GCP-Asia-East-1
-27.339752,-85.996378,37.33,-121.89,2,US-West-1,AWS,8108.333651,0.642628,0.033147,755.177178,2,AWS-US-West-1
55.473713,-8.888915,53.34,-6.27,1,EU-West-1,AWS,291.535207,0.287547,0.029406,736.421473,1,AWS-EU-West-1
-0.686266,103.795087,25.03,121.56,4,Asia-East-1,GCP,3439.809121,0.73644,0.033759,940.81339,4,GCP-Asia-East-1
-27.2733,155.792961,-37.81,144.96,5,Australia-SE-1,Azure,1548.061933,0.543349,0.023475,919.86999,5,Azure-Australia-SE-1
20.059262,137.049717,25.03,121.56,4,Asia-East-1,GCP,1682.650641,0.663034,0.023345,564.483697,4,GCP-Asia-East-1
-26.096784,-56.912809,52.37,4.9,3,West-Europe,Azure,10577.74583,0.3684,0.011588,607.341042,3,Azure-West-Europe
-2.180046,118.654829,25.03,121.56,4,Asia-East-1,GCP,3041.792839,0.188778,0.026901,702.775584,4,GCP-Asia-East-1
26.870389,-44.686269,53.34,-6.27,1,EU-West-1,AWS,4308.931568,0.772952,0.031541,933.97307,1,AWS-EU-West-1
29.64294,-105.730783,37.33,-121.89,2,US-West-1,AWS,1721.626696,0.39205,0.030958,902.338519,2,AWS-US-West-1
2.227632,109.221511,25.03,121.56,4,Asia-East-1,GCP,2859.804239,0.782279,0.047288,732.628409,4,GCP-Asia-East-1
-22.286742,176.966701,-37.81,144.96,5,Australia-SE-1,Azure,3505.625221,0.293118,0.042953,599.07093,5,Azure-Australia-SE-1
43.915446,-45.433833,53.34,-6.27,1,EU-West-1,AWS,3018.086136,0.326475,0.03201,774.631141,1,AWS-EU-West-1
50.155984,-6.128484,53.34,-6.27,1,EU-West-1,AWS,354.180251,0.155798,0.031882,994.033533,1,AWS-EU-West-1
-3.105787,85.739469,25.03,121.56,4,Asia-East-1,GCP,4971.298303,0.945597,0.03441,593.388355,4,GCP-Asia-East-1
